TIME	KT SEA REF	KT SEA TEMP	KT SKY REF	KT SKY TEMP
8/5/2014 15:59:22.781	32.00	1.13	32.08	1.59
8/5/2014 15:59:23.609	32.00	1.14	32.08	1.58
8/5/2014 15:59:24.406	32.00	1.09	32.08	1.58
8/5/2014 15:59:25.234	32.01	1.15	32.08	1.63
8/5/2014 15:59:26.031	32.01	1.17	32.08	1.51
8/5/2014 15:59:26.843	32.01	1.16	32.07	1.57
8/5/2014 15:59:27.656	32.01	1.18	32.08	1.55
8/5/2014 15:59:28.468	32.01	1.14	32.07	1.59
8/5/2014 15:59:29.281	32.01	1.16	32.07	1.66
8/5/2014 15:59:30.093	32.01	1.24	32.07	1.54
8/5/2014 15:59:30.906	32.01	1.17	32.07	1.58
8/5/2014 15:59:31.718	32.01	1.15	32.07	1.52
8/5/2014 15:59:32.531	32.01	1.23	32.07	1.60
8/5/2014 15:59:33.343	32.01	1.12	32.07	1.54
8/5/2014 15:59:34.156	32.01	1.19	32.07	1.56
8/5/2014 15:59:34.968	32.01	1.16	32.07	1.49
8/5/2014 15:59:35.781	32.02	1.13	32.07	1.62
8/5/2014 15:59:36.593	32.01	1.10	32.07	1.60
8/5/2014 15:59:37.406	32.02	1.17	32.07	1.61
8/5/2014 15:59:38.218	32.02	1.16	32.07	1.67
8/5/2014 15:59:39.031	32.02	1.16	32.07	1.55
8/5/2014 15:59:39.843	32.02	1.19	32.07	1.60
8/5/2014 15:59:40.656	32.02	1.21	32.07	1.58
8/5/2014 15:59:41.468	32.02	1.14	32.07	1.60
8/5/2014 15:59:42.281	32.02	1.17	32.07	1.61
8/5/2014 15:59:43.093	32.02	1.07	32.07	1.54
8/5/2014 15:59:43.906	32.02	1.12	32.07	1.54
8/5/2014 15:59:44.718	32.02	1.16	32.07	1.51
8/5/2014 15:59:45.531	32.02	1.14	32.07	1.58
8/5/2014 15:59:46.343	32.02	1.10	32.07	1.59
8/5/2014 15:59:47.156	32.02	1.13	32.07	1.60
8/5/2014 15:59:47.968	32.03	1.14	32.07	1.51
8/5/2014 15:59:48.781	32.03	1.16	32.06	1.48
8/5/2014 15:59:49.593	32.03	1.17	32.06	1.58
8/5/2014 15:59:50.406	32.03	1.18	32.06	1.61
8/5/2014 15:59:51.218	32.03	1.22	32.06	1.60
8/5/2014 15:59:52.031	32.03	1.17	32.07	1.56
8/5/2014 15:59:52.843	32.03	1.16	32.06	1.54
8/5/2014 15:59:53.656	32.03	1.19	32.06	1.61
8/5/2014 15:59:54.468	32.03	1.10	32.06	1.59
8/5/2014 15:59:55.281	32.03	1.11	32.06	1.55
8/5/2014 15:59:56.093	32.03	1.16	32.06	1.41
8/5/2014 15:59:56.906	32.03	1.13	32.06	1.52
8/5/2014 15:59:57.718	32.03	1.10	32.06	1.54
8/5/2014 15:59:58.531	32.03	1.18	32.06	1.56
8/5/2014 15:59:59.343	32.03	1.14	32.06	1.54
8/5/2014 16:00:00.156	32.04	1.20	32.06	1.60
8/5/2014 16:00:00.968	32.04	1.13	32.06	1.67
8/5/2014 16:00:01.781	32.04	1.21	32.06	1.62
8/5/2014 16:00:02.593	32.04	1.18	32.06	1.52
